timestamp,temperatura_pr1,date (America/Sao_Paulo)
1763405315989,4.7,2025-11-17 15:48:35.989000-03:00
1763405255657,5.5,2025-11-17 15:47:35.657000-03:00
1763405195331,6.0,2025-11-17 15:46:35.331000-03:00
1763405135003,5.8,2025-11-17 15:45:35.003000-03:00
1763405074681,5.3,2025-11-17 15:44:34.681000-03:00
1763405014350,4.9,2025-11-17 15:43:34.350000-03:00
1763404954019,4.4,2025-11-17 15:42:34.019000-03:00
1763404893695,4.0,2025-11-17 15:41:33.695000-03:00
1763404833367,3.6,2025-11-17 15:40:33.367000-03:00
1763404772964,3.4,2025-11-17 15:39:32.964000-03:00
1763404712630,4.0,2025-11-17 15:38:32.630000-03:00
1763404652306,4.9,2025-11-17 15:37:32.306000-03:00
1763404591992,5.6,2025-11-17 15:36:31.992000-03:00
1763404531650,6.1,2025-11-17 15:35:31.650000-03:00
1763404471333,5.7,2025-11-17 15:34:31.333000-03:00
1763404410998,5.2,2025-11-17 15:33:30.998000-03:00
1763404350685,4.7,2025-11-17 15:32:30.685000-03:00
1763404290344,4.3,2025-11-17 15:31:30.344000-03:00
1763404229983,3.9,2025-11-17 15:30:29.983000-03:00
1763404169660,3.5,2025-11-17 15:29:29.660000-03:00
1763404109336,3.5,2025-11-17 15:28:29.336000-03:00
1763404049018,4.3,2025-11-17 15:27:29.018000-03:00
1763403988684,5.2,2025-11-17 15:26:28.684000-03:00
1763403928362,5.8,2025-11-17 15:25:28.362000-03:00
1763403868022,6.0,2025-11-17 15:24:28.022000-03:00
1763403807676,5.5,2025-11-17 15:23:27.676000-03:00
1763403747350,5.1,2025-11-17 15:22:27.350000-03:00
